Control Family,ID,Ownership,Name,Description,Effect(s),Version,Azure Policy Guid
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Audit usage of custom RBAC rules,"Audit built-in roles such as 'Owner, Contributer, Reader' instead of custom RBAC roles, which are error prone. Using custom roles is treated as an exception and requires a rigorous review and threat modeling","Audit, Disabled",1:00:00,a451c1ef-c6ca-483d-87ed-f49761e3ffb5)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Audit user account status,CMA_0020 - Audit user account status,"Manual, Disabled",1:00:00,49c23d9b-02b0-0e42-4f94-e8cef1b8381b)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Cognitive Services accounts should have local authentication methods disabled,Disabling local authentication methods improves security by ensuring that Cognitive Services accounts require Azure Active Directory identities exclusively for authentication. Learn more at: https://aka.ms/cs/auth.,"Audit, Deny, Disabled",1:00:00,71ef260a-8f18-47b7-abcb-62d0673d94dc)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Define and enforce conditions for shared and group accounts,CMA_0117 - Define and enforce conditions for shared and group accounts,"Manual, Disabled",1:00:00,f7eb1d0b-6d4f-2d59-1591-7563e11a9313)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Define information system account types,CMA_0121 - Define information system account types,"Manual, Disabled",1:00:00,623b5f0a-8cbd-03a6-4892-201d27302f0c)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Deprecated accounts should be removed from your subscription,Deprecated accounts should be removed from your subscriptions. Deprecated accounts are accounts that have been blocked from signing in.,"AuditIfNotExists, Disabled",3:00:00,6b1cbf55-e8b6-442f-ba4c-7246b6381474)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Deprecated accounts with owner permissions should be removed from your subscription,Deprecated accounts with owner permissions should be removed from your subscription. Deprecated accounts are accounts that have been blocked from signing in.,"AuditIfNotExists, Disabled",3:00:00,ebb62a0c-3560-49e1-89ed-27e074e9f8ad)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Document access privileges,CMA_0186 - Document access privileges,"Manual, Disabled",1:00:00,a08b18c7-9e0a-89f1-3696-d80902196719)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Establish conditions for role membership,CMA_0269 - Establish conditions for role membership,"Manual, Disabled",1:00:00,97cfd944-6f0c-7db2-3796-8e890ef70819)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,External accounts with owner permissions should be removed from your subscription,External accounts with owner permissions should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",3:00:00,f8456c1c-aa66-4dfb-861a-25d127b775c9)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,External accounts with read permissions should be removed from your subscription,External accounts with read privileges should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",3:00:00,5f76cf89-fbf2-47fd-a3f4-b891fa780b60)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,External accounts with write permissions should be removed from your subscription,External accounts with write privileges should be removed from your subscription in order to prevent unmonitored access.,"AuditIfNotExists, Disabled",3:00:00,5c607a2e-c700-4744-8254-d77e7c9eb5e4)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Function apps should use managed identity,Use a managed identity for enhanced authentication security,"AuditIfNotExists, Disabled",3:00:00,0da106f2-4ca3-48e8-bc85-c638fe6aea8f)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Monitor account activity,CMA_0377 - Monitor account activity,"Manual, Disabled",1:00:00,7b28ba4f-0a87-46ac-62e1-46b7c09202a8)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Notify Account Managers of customer controlled accounts,CMA_C1009 - Notify Account Managers of customer controlled accounts,"Manual, Disabled",1:00:00,4b8fd5da-609b-33bf-9724-1c946285a14c)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Reissue authenticators for changed groups and accounts,CMA_0426 - Reissue authenticators for changed groups and accounts,"Manual, Disabled",1:00:00,2f204e72-1896-3bf8-75c9-9128b8683a36)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Restrict access to privileged accounts,CMA_0446 - Restrict access to privileged accounts,"Manual, Disabled",1:00:00,873895e8-0e3a-6492-42e9-22cd030e9fcd)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Review account provisioning logs,CMA_0460 - Review account provisioning logs,"Manual, Disabled",1:00:00,a830fe9e-08c9-a4fb-420c-6f6bf1702395)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Review user accounts,CMA_0480 - Review user accounts,"Manual, Disabled",1:00:00,79f081c7-1634-01a1-708e-376197999289)
Account Management,NIST SP 800-53 Rev. 5 AC-2,Shared,Service Fabric clusters should only use Azure Active Directory for client authentication,Audit usage of client authentication only via Azure Active Directory in Service Fabric,"Audit, Deny, Disabled",1:01:00,b54ed75b-3e1a-44ac-a333-05ba39b99ff0)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,---,---,---,---,
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,An Azure Active Directory administrator should be provisioned for SQL servers,Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services,"AuditIfNotExists, Disabled",1:00:00,1f314764-cb73-4fc9-b863-8eca98ac36e9)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Automate account management,CMA_0026 - Automate account management,"Manual, Disabled",1:00:00,2cc9c165-46bd-9762-5739-d2aae5ba90a1)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Cognitive Services accounts should have local authentication methods disabled,Disabling local authentication methods improves security by ensuring that Cognitive Services accounts require Azure Active Directory identities exclusively for authentication. Learn more at: https://aka.ms/cs/auth.,"Audit, Deny, Disabled",1:00:00,71ef260a-8f18-47b7-abcb-62d0673d94dc)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Manage system and admin accounts,CMA_0368 - Manage system and admin accounts,"Manual, Disabled",1:00:00,34d38ea7-6754-1838-7031-d7fd07099821)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Monitor access across the organization,CMA_0376 - Monitor access across the organization,"Manual, Disabled",1:00:00,48c816c5-2190-61fc-8806-25d6f3df162f)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Notify when account is not needed,CMA_0383 - Notify when account is not needed,"Manual, Disabled",1:00:00,8489ff90-8d29-61df-2d84-f9ab0f4c5e84)
Automated System Account Management,NIST SP 800-53 Rev. 5 AC-2 (1),Shared,Service Fabric clusters should only use Azure Active Directory for client authentication,Audit usage of client authentication only via Azure Active Directory in Service Fabric,"Audit, Deny, Disabled",1:01:00,b54ed75b-3e1a-44ac-a333-05ba39b99ff0)
Disable Accounts,NIST SP 800-53 Rev. 5 AC-2 (3),Shared,---,---,---,---,
Disable Accounts,NIST SP 800-53 Rev. 5 AC-2 (3),Shared,Disable authenticators upon termination,CMA_0169 - Disable authenticators upon termination,"Manual, Disabled",1:00:00,d9d48ffb-0d8c-0bd5-5f31-5a5826d19f10)
Disable Accounts,NIST SP 800-53 Rev. 5 AC-2 (3),Shared,Revoke privileged roles as appropriate,CMA_0483 - Revoke privileged roles as appropriate,"Manual, Disabled",1:00:00,32f22cfa-770b-057c-965b-450898425519)
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,---,---,---,---,
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,Audit user account status,CMA_0020 - Audit user account status,"Manual, Disabled",1:00:00,49c23d9b-02b0-0e42-4f94-e8cef1b8381b)
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,Automate account management,CMA_0026 - Automate account management,"Manual, Disabled",1:00:00,2cc9c165-46bd-9762-5739-d2aae5ba90a1)
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,Manage system and admin accounts,CMA_0368 - Manage system and admin accounts,"Manual, Disabled",1:00:00,34d38ea7-6754-1838-7031-d7fd07099821)
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,Monitor access across the organization,CMA_0376 - Monitor access across the organization,"Manual, Disabled",1:00:00,48c816c5-2190-61fc-8806-25d6f3df162f)
Automated Audit Actions,NIST SP 800-53 Rev. 5 AC-2 (4),Shared,Notify when account is not needed,CMA_0383 - Notify when account is not needed,"Manual, Disabled",1:00:00,8489ff90-8d29-61df-2d84-f9ab0f4c5e84)
Inactivity Logout,NIST SP 800-53 Rev. 5 AC-2 (5),Shared,---,---,---,---,
Inactivity Logout,NIST SP 800-53 Rev. 5 AC-2 (5),Shared,Define and enforce inactivity log policy,CMA_C1017 - Define and enforce inactivity log policy,"Manual, Disabled",1:00:00,2af4640d-11a6-a64b-5ceb-a468f4341c0c)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,---,---,---,---,
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,An Azure Active Directory administrator should be provisioned for SQL servers,Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services,"AuditIfNotExists, Disabled",1:00:00,1f314764-cb73-4fc9-b863-8eca98ac36e9)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Audit privileged functions,CMA_0019 - Audit privileged functions,"Manual, Disabled",1:00:00,f26af0b1-65b6-689a-a03f-352ad2d00f98)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Audit usage of custom RBAC rules,"Audit built-in roles such as 'Owner, Contributer, Reader' instead of custom RBAC roles, which are error prone. Using custom roles is treated as an exception and requires a rigorous review and threat modeling","Audit, Disabled",1:00:00,a451c1ef-c6ca-483d-87ed-f49761e3ffb5)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Cognitive Services accounts should have local authentication methods disabled,Disabling local authentication methods improves security by ensuring that Cognitive Services accounts require Azure Active Directory identities exclusively for authentication. Learn more at: https://aka.ms/cs/auth.,"Audit, Deny, Disabled",1:00:00,71ef260a-8f18-47b7-abcb-62d0673d94dc)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Monitor account activity,CMA_0377 - Monitor account activity,"Manual, Disabled",1:00:00,7b28ba4f-0a87-46ac-62e1-46b7c09202a8)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Monitor privileged role assignment,CMA_0378 - Monitor privileged role assignment,"Manual, Disabled",1:00:00,ed87d27a-9abf-7c71-714c-61d881889da4)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Restrict access to privileged accounts,CMA_0446 - Restrict access to privileged accounts,"Manual, Disabled",1:00:00,873895e8-0e3a-6492-42e9-22cd030e9fcd)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Revoke privileged roles as appropriate,CMA_0483 - Revoke privileged roles as appropriate,"Manual, Disabled",1:00:00,32f22cfa-770b-057c-965b-450898425519)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Service Fabric clusters should only use Azure Active Directory for client authentication,Audit usage of client authentication only via Azure Active Directory in Service Fabric,"Audit, Deny, Disabled",1:01:00,b54ed75b-3e1a-44ac-a333-05ba39b99ff0)
Privileged User Accounts,NIST SP 800-53 Rev. 5 AC-2 (7),Shared,Use privileged identity management,CMA_0533 - Use privileged identity management,"Manual, Disabled",1:00:00,e714b481-8fac-64a2-14a9-6f079b2501a4)
Restrictions on Use of Shared and Group Accounts,NIST SP 800-53 Rev. 5 AC-2 (9),Shared,---,---,---,---,
Restrictions on Use of Shared and Group Accounts,NIST SP 800-53 Rev. 5 AC-2 (9),Shared,Define and enforce conditions for shared and group accounts,CMA_0117 - Define and enforce conditions for shared and group accounts,"Manual, Disabled",1:00:00,f7eb1d0b-6d4f-2d59-1591-7563e11a9313)
Usage Conditions,NIST SP 800-53 Rev. 5 AC-2 (11),Shared,---,---,---,---,
Usage Conditions,NIST SP 800-53 Rev. 5 AC-2 (11),Shared,Enforce appropriate usage of all accounts,CMA_C1023 - Enforce appropriate usage of all accounts,"Manual, Disabled",1:00:00,fd81a1b3-2d7a-107c-507e-29b87d040c19)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,---,---,---,---,
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,[Preview]: Azure Arc enabled Kubernetes clusters should have Microsoft Defender for Cloud extension installed,Microsoft Defender for Cloud extension for Azure Arc provides threat protection for your Arc enabled Kubernetes clusters. The extension collects data from all nodes in the cluster and sends it to the Azure Defender for Kubernetes backend in the cloud for further analysis. Learn more in https://docs.microsoft.com/azure/defender-for-cloud/defender-for-containers-enable?pivots=defender-for-container-arc.,"AuditIfNotExists, Disabled",6.0.0-preview,(https://docs.microsoft.com/azure/defender-for-cloud/defender-for-containers-enable?pivots=defender-for-container-arc).
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for App Service should be enabled,"Azure Defender for App Service leverages the scale of the cloud, and the visibility that Azure has as a cloud provider, to monitor for common web app attacks.","AuditIfNotExists, Disabled",1:00:03,2913021d-f2fd-4f3d-b958-22354e2bdbcb)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for Azure SQL Database servers should be enabled,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",1:00:02,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for DNS should be enabled,Azure Defender for DNS provides an additional layer of protection for your cloud resources by continuously monitoring all DNS queries from your Azure resources. Azure Defender alerts you about suspicious activity at the DNS layer. Learn more about the capabilities of Azure Defender for DNS at https://aka.ms/defender-for-dns . Enabling this Azure Defender plan results in charges. Learn about the pricing details per region on Security Center's pricing page: https://aka.ms/pricing-security-center .,"AuditIfNotExists, Disabled",1:00:00,bdc59948-5574-49b3-bb91-76b7c986428d)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for Key Vault should be enabled,Azure Defender for Key Vault provides an additional layer of protection and security intelligence by detecting unusual and potentially harmful attempts to access or exploit key vault accounts.,"AuditIfNotExists, Disabled",1:00:03,0e6763cc-5078-4e64-889d-ff4d9a839047)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for Resource Manager should be enabled,Azure Defender for Resource Manager automatically monitors the resource management operations in your organization. Azure Defender detects threats and alerts you about suspicious activity. Learn more about the capabilities of Azure Defender for Resource Manager at https://aka.ms/defender-for-resource-manager . Enabling this Azure Defender plan results in charges. Learn about the pricing details per region on Security Center's pricing page: https://aka.ms/pricing-security-center .,"AuditIfNotExists, Disabled",1:00:00,c3d20c29-b36d-48fe-808b-99a87530ad99)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for servers should be enabled,Azure Defender for servers provides real-time threat protection for server workloads and generates hardening recommendations as well as alerts about suspicious activities.,"AuditIfNotExists, Disabled",1:00:03,4da35fc9-c9e7-4960-aec9-797fe7d9051d)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for SQL servers on machines should be enabled,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",1:00:02,6581d072-105e-4418-827f-bd446d56421b)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Audit each SQL Managed Instance without advanced data security.,"AuditIfNotExists, Disabled",1:00:02,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Azure Defender for Storage should be enabled,Azure Defender for Storage provides detections of unusual and potentially harmful attempts to access or exploit storage accounts.,"AuditIfNotExists, Disabled",1:00:03,308fbb08-4ab8-4e67-9b29-592e93fb94fa)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Management ports of virtual machines should be protected with just-in-time network access control,Possible network Just In Time (JIT) access will be monitored by Azure Security Center as recommendations,"AuditIfNotExists, Disabled",3:00:00,b0f33259-77d7-4c9e-aac6-3aabcfae693c)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Microsoft Defender for Containers should be enabled,"Microsoft Defender for Containers provides hardening, vulnerability assessment and run-time protections for your Azure, hybrid, and multi-cloud Kubernetes environments.","AuditIfNotExists, Disabled",1:00:00,1c988dd6-ade4-430f-a608-2a3e5b0a6d38)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Monitor account activity,CMA_0377 - Monitor account activity,"Manual, Disabled",1:00:00,7b28ba4f-0a87-46ac-62e1-46b7c09202a8)
Account Monitoring for Atypical Usage,NIST SP 800-53 Rev. 5 AC-2 (12),Shared,Report atypical behavior of user accounts,CMA_C1025 - Report atypical behavior of user accounts,"Manual, Disabled",1:00:00,e4054c0e-1184-09e6-4c5e-701e0bc90f81)
Disable Accounts for High-risk Individuals,NIST SP 800-53 Rev. 5 AC-2 (13),Shared,---,---,---,---,
Disable Accounts for High-risk Individuals,NIST SP 800-53 Rev. 5 AC-2 (13),Shared,Disable user accounts posing a significant risk,CMA_C1026 - Disable user accounts posing a significant risk,"Manual, Disabled",1:00:00,22c16ae4-19d0-29cb-422f-cb44061180ee)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,---,---,---,---,
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration but do not have any managed identities. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",modify,4:00:00,3cf2ab00-13f1-4d0c-8971-2ac904541a7e)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration and have at least one user-assigned identity but do not have a system-assigned managed identity. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",modify,4:00:00,497dff13-db2a-4c0f-8603-28fa3b331ab6)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,An Azure Active Directory administrator should be provisioned for SQL servers,Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services,"AuditIfNotExists, Disabled",1:00:00,1f314764-cb73-4fc9-b863-8eca98ac36e9)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,App Service apps should use managed identity,Use a managed identity for enhanced authentication security,"AuditIfNotExists, Disabled",3:00:00,2b9ad585-36bc-4615-b300-fd4435808332)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Audit Linux machines that have accounts without passwords,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Linux machines that have accounts without passwords","AuditIfNotExists, Disabled",3:00:00,f6ec09a3-78bf-4f8f-99dc-6c77182d0f99)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Authentication to Linux machines should require SSH keys,"Although SSH itself provides an encrypted connection, using passwords with SSH still leaves the VM vulnerable to brute-force attacks. The most secure option for authenticating to an Azure Linux virtual machine over SSH is with a public-private key pair, also known as SSH keys. Learn more: https://docs.microsoft.com/azure/virtual-machines/linux/create-ssh-keys-detailed.","AuditIfNotExists, Disabled",3:00:00,630c64f9-8b6b-4c64-b511-6544ceff6fd6)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Cognitive Services accounts should have local authentication methods disabled,Disabling local authentication methods improves security by ensuring that Cognitive Services accounts require Azure Active Directory identities exclusively for authentication. Learn more at: https://aka.ms/cs/auth.,"Audit, Deny, Disabled",1:00:00,71ef260a-8f18-47b7-abcb-62d0673d94dc)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs,"This policy deploys the Linux Guest Configuration extension to Linux virtual machines hosted in Azure that are supported by Guest Configuration. The Linux Guest Configuration extension is a prerequisite for all Linux Guest Configuration assignments and must be deployed to machines before using any Linux Guest Configuration policy definition. For more information on Guest Configuration, visit https://aka.ms/gcpol.",deployIfNotExists,3:00:00,331e8ea8-378a-410f-a2e5-ae22f38bb0da)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Enforce logical access,CMA_0245 - Enforce logical access,"Manual, Disabled",1:00:00,10c4210b-3ec9-9603-050d-77e4d26c7ebb)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Function apps should use managed identity,Use a managed identity for enhanced authentication security,"AuditIfNotExists, Disabled",3:00:00,0da106f2-4ca3-48e8-bc85-c638fe6aea8f)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,MFA should be enabled accounts with write permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with write privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,9297c21d-2ed6-4474-b48f-163f75654ce3)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,MFA should be enabled on accounts with owner permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with owner permissions to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,aa633080-8b72-40c4-a2d7-d00c03e80bed)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,MFA should be enabled on accounts with read permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with read privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,e3576e28-8b17-4677-84c3-db2990658d64)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Review user groups and applications with access to sensitive data,CMA_0481 - Review user groups and applications with access to sensitive data,"Manual, Disabled",1:00:00,eb1c944e-0e94-647b-9b7e-fdb8d2af0838)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Service Fabric clusters should only use Azure Active Directory for client authentication,Audit usage of client authentication only via Azure Active Directory in Service Fabric,"Audit, Deny, Disabled",1:01:00,b54ed75b-3e1a-44ac-a333-05ba39b99ff0)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Storage accounts should be migrated to new Azure Resource Manager resources,"Use new Azure Resource Manager for your storage accounts to provide security enhancements such as: stronger access control (RBAC), better auditing, Azure Resource Manager based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management","Audit, Deny, Disabled",1:00:00,37e0d2fe-28a5-43d6-a273-67d37d1f5606)
Access Enforcement,NIST SP 800-53 Rev. 5 AC-3,Shared,Virtual machines should be migrated to new Azure Resource Manager resources,"Use new Azure Resource Manager for your virtual machines to provide security enhancements such as: stronger access control (RBAC), better auditing, Azure Resource Manager based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management","Audit, Deny, Disabled",1:00:00,1d84d5fb-01f6-4d12-ba4f-4a26081d403d)
Role-based Access Control,NIST SP 800-53 Rev. 5 AC-3 (7),Customer,---,---,---,---,
