Control Family,Control Title,ID,Ownership,Name,Description,Effect(s),Version,Azure Policy Guid
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
1 Identity and Access Management,Ensure that 'Guest user permissions are limited' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.12,Shared,Review user groups and applications with access to sensitive data,CMA_0481 - Review user groups and applications with access to sensitive data,"Manual, Disabled",1:00:00,eb1c944e-0e94-647b-9b7e-fdb8d2af0838)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Design an access control model,CMA_0129 - Design an access control model,"Manual, Disabled",1:00:00,03b6427e-6072-4226-4bd9-a410ab65317e)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Employ least privilege access,CMA_0212 - Employ least privilege access,"Manual, Disabled",1:00:00,1bc7fd64-291f-028e-4ed6-6e07886e163f)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Enforce logical access,CMA_0245 - Enforce logical access,"Manual, Disabled",1:00:00,10c4210b-3ec9-9603-050d-77e4d26c7ebb)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
1 Identity and Access Management,Ensure that 'Members can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.13,Shared,Review user groups and applications with access to sensitive data,CMA_0481 - Review user groups and applications with access to sensitive data,"Manual, Disabled",1:00:00,eb1c944e-0e94-647b-9b7e-fdb8d2af0838)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Design an access control model,CMA_0129 - Design an access control model,"Manual, Disabled",1:00:00,03b6427e-6072-4226-4bd9-a410ab65317e)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Employ least privilege access,CMA_0212 - Employ least privilege access,"Manual, Disabled",1:00:00,1bc7fd64-291f-028e-4ed6-6e07886e163f)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Enforce logical access,CMA_0245 - Enforce logical access,"Manual, Disabled",1:00:00,10c4210b-3ec9-9603-050d-77e4d26c7ebb)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
1 Identity and Access Management,Ensure that 'Guests can invite' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.14,Shared,Review user groups and applications with access to sensitive data,CMA_0481 - Review user groups and applications with access to sensitive data,"Manual, Disabled",1:00:00,eb1c944e-0e94-647b-9b7e-fdb8d2af0838)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Enforce logical access,CMA_0245 - Enforce logical access,"Manual, Disabled",1:00:00,10c4210b-3ec9-9603-050d-77e4d26c7ebb)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Require approval for account creation,CMA_0431 - Require approval for account creation,"Manual, Disabled",1:00:00,de770ba6-50dd-a316-2932-e0d972eaa734)
1 Identity and Access Management,Ensure that 'Restrict access to Azure AD administration portal' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.15,Shared,Review user groups and applications with access to sensitive data,CMA_0481 - Review user groups and applications with access to sensitive data,"Manual, Disabled",1:00:00,eb1c944e-0e94-647b-9b7e-fdb8d2af0838)
1 Identity and Access Management,Ensure that 'Restrict user ability to access groups features in the Access Pane' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.16,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Restrict user ability to access groups features in the Access Pane' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.16,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Restrict user ability to access groups features in the Access Pane' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.16,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Restrict user ability to access groups features in the Access Pane' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.16,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Restrict user ability to access groups features in the Access Pane' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.16,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure that 'Users can create security groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.17,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Users can create security groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.17,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Users can create security groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.17,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Users can create security groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.17,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Users can create security groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.17,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.18,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.18,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.18,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.18,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.18,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.19,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.19,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.19,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.19,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No',CIS Microsoft Azure Foundations Benchmark recommendation 1.19,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all non-privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.2,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all non-privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.2,Shared,Adopt biometric authentication mechanisms,CMA_0005 - Adopt biometric authentication mechanisms,"Manual, Disabled",1:00:00,7d7a8356-5c34-9a95-3118-1424cfaf192a)
1 Identity and Access Management,Ensure that multi-factor authentication is enabled for all non-privileged users,CIS Microsoft Azure Foundations Benchmark recommendation 1.2,Shared,MFA should be enabled on accounts with read permissions on your subscription,Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with read privileges to prevent a breach of accounts or resources.,"AuditIfNotExists, Disabled",3:00:00,e3576e28-8b17-4677-84c3-db2990658d64)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Adopt biometric authentication mechanisms,CMA_0005 - Adopt biometric authentication mechanisms,"Manual, Disabled",1:00:00,7d7a8356-5c34-9a95-3118-1424cfaf192a)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Authorize remote access,CMA_0024 - Authorize remote access,"Manual, Disabled",1:00:00,dad8a2e9-6f27-4fc2-8933-7e99fe700c9c)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Document mobility training,CMA_0191 - Document mobility training,"Manual, Disabled",1:00:00,83dfb2b8-678b-20a0-4c44-5c75ada023e6)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Document remote access guidelines,CMA_0196 - Document remote access guidelines,"Manual, Disabled",1:00:00,3d492600-27ba-62cc-a1c3-66eb919f6a0d)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Identify and authenticate network devices,CMA_0296 - Identify and authenticate network devices,"Manual, Disabled",1:00:00,ae5345d5-8dab-086a-7290-db43a3272198)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Implement controls to secure alternate work sites,CMA_0315 - Implement controls to secure alternate work sites,"Manual, Disabled",1:00:00,cd36eeec-67e7-205a-4b64-dbfe3b4e3e4e)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Provide privacy training,CMA_0415 - Provide privacy training,"Manual, Disabled",1:00:00,518eafdd-08e5-37a9-795b-15a8d798056d)
1 Identity and Access Management,Ensure that 'Require Multi-Factor Auth to join devices' is set to 'Yes',CIS Microsoft Azure Foundations Benchmark recommendation 1.20,Shared,Satisfy token quality requirements,CMA_0487 - Satisfy token quality requirements,"Manual, Disabled",1:00:00,056a723b-4946-9d2a-5243-3aa27c4d31a1)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,---,---,---,---,
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Design an access control model,CMA_0129 - Design an access control model,"Manual, Disabled",1:00:00,03b6427e-6072-4226-4bd9-a410ab65317e)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Employ least privilege access,CMA_0212 - Employ least privilege access,"Manual, Disabled",1:00:00,1bc7fd64-291f-028e-4ed6-6e07886e163f)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure that no custom subscription owner roles are created,CIS Microsoft Azure Foundations Benchmark recommendation 1.21,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,---,---,---,---,
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Adopt biometric authentication mechanisms,CMA_0005 - Adopt biometric authentication mechanisms,"Manual, Disabled",1:00:00,7d7a8356-5c34-9a95-3118-1424cfaf192a)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Authenticate to cryptographic module,CMA_0021 - Authenticate to cryptographic module,"Manual, Disabled",1:00:00,6f1de470-79f3-1572-866e-db0771352fc8)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Authorize remote access,CMA_0024 - Authorize remote access,"Manual, Disabled",1:00:00,dad8a2e9-6f27-4fc2-8933-7e99fe700c9c)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Document mobility training,CMA_0191 - Document mobility training,"Manual, Disabled",1:00:00,83dfb2b8-678b-20a0-4c44-5c75ada023e6)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Document remote access guidelines,CMA_0196 - Document remote access guidelines,"Manual, Disabled",1:00:00,3d492600-27ba-62cc-a1c3-66eb919f6a0d)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Identify and authenticate network devices,CMA_0296 - Identify and authenticate network devices,"Manual, Disabled",1:00:00,ae5345d5-8dab-086a-7290-db43a3272198)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Implement controls to secure alternate work sites,CMA_0315 - Implement controls to secure alternate work sites,"Manual, Disabled",1:00:00,cd36eeec-67e7-205a-4b64-dbfe3b4e3e4e)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Provide privacy training,CMA_0415 - Provide privacy training,"Manual, Disabled",1:00:00,518eafdd-08e5-37a9-795b-15a8d798056d)
1 Identity and Access Management,Ensure Security Defaults is enabled on Azure Active Directory,CIS Microsoft Azure Foundations Benchmark recommendation 1.22,Shared,Satisfy token quality requirements,CMA_0487 - Satisfy token quality requirements,"Manual, Disabled",1:00:00,056a723b-4946-9d2a-5243-3aa27c4d31a1)
1 Identity and Access Management,Ensure Custom Role is assigned for Administering Resource Locks,CIS Microsoft Azure Foundations Benchmark recommendation 1.23,Shared,---,---,---,---,
1 Identity and Access Management,Ensure Custom Role is assigned for Administering Resource Locks,CIS Microsoft Azure Foundations Benchmark recommendation 1.23,Shared,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"Manual, Disabled",1:00:00,aeed863a-0f56-429f-945d-8bb66bd06841)
1 Identity and Access Management,Ensure Custom Role is assigned for Administering Resource Locks,CIS Microsoft Azure Foundations Benchmark recommendation 1.23,Shared,Authorize and manage access,CMA_0023 - Authorize and manage access,"Manual, Disabled",1:00:00,50e9324a-7410-0539-0662-2c1e775538b7)
1 Identity and Access Management,Ensure Custom Role is assigned for Administering Resource Locks,CIS Microsoft Azure Foundations Benchmark recommendation 1.23,Shared,Enforce mandatory and discretionary access control policies,CMA_0246 - Enforce mandatory and discretionary access control policies,"Manual, Disabled",1:00:00,b1666a13-8f67-9c47-155e-69e027ff6823)
1 Identity and Access Management,Ensure Custom Role is assigned for Administering Resource Locks,CIS Microsoft Azure Foundations Benchmark recommendation 1.23,Shared,Establish and document change control processes,CMA_0265 - Establish and document change control processes,"Manual, Disabled",1:00:00,bd4dc286-2f30-5b95-777c-681f3a7913d3)
1 Identity and Access Management,Ensure guest users are reviewed on a monthly basis,CIS Microsoft Azure Foundations Benchmark recommendation 1.3,Shared,---,---,---,---,
1 Identity and Access Management,Ensure guest users are reviewed on a monthly basis,CIS Microsoft Azure Foundations Benchmark recommendation 1.3,Shared,Audit user account status,CMA_0020 - Audit user account status,"Manual, Disabled",1:00:00,49c23d9b-02b0-0e42-4f94-e8cef1b8381b)
